row_id,microbusiness_density_AR,microbusiness_density_MA,microbusiness_density_ARMA,microbusiness_density_ARIMA,microbusiness_density_Lin,microbusiness_density_Lasso,microbusiness_density_Ridge
1001_2022-11-01,3.360347912100484,3.164529269706104,3.164529269706104,3.360347912100484,3.4638555,3.4638555,3.4638555
1003_2022-11-01,8.0657852340849,7.889805419149504,7.889805419149504,7.94728099537936,8.3597984,8.3597984,8.3597984
1005_2022-11-01,1.1025157476075809,1.1051898670328215,1.1051898670328215,1.215691506850089,1.2320744,1.2320744,1.2320744
1007_2022-11-01,1.2708285547475844,1.271875582609601,1.271875582609601,1.2620207782385044,1.28724,1.28724,1.28724
1009_2022-11-01,1.8089377731860623,1.6769457244564547,1.6769457244564547,1.8089377731860623,1.8317825,1.8317825,1.8317825
1011_2022-11-01,0.9151327976243828,0.9151131864728208,0.9151131864728208,1.016952047643553,0.98809224,0.98809224,0.98809224
1013_2022-11-01,1.9613582489087924,1.4425158756126122,1.4425158756126122,2.5556278438604045,2.1859705,2.1859705,2.1859705
1015_2022-11-01,2.754934190662395,2.7540157781545,2.7540157781545,2.8726501746951207,2.8005137,2.8005137,2.8005137
1017_2022-11-01,1.3756568774113085,1.3808713547977831,1.3808713547977831,1.2059639950607954,1.4425437,1.4425437,1.4425437
1019_2022-11-01,1.1426866028442864,1.1657426256492682,1.1657426256492682,1.0795351804616102,1.117345,1.117345,1.117345
1021_2022-11-01,1.7762260089344006,1.5733289746049073,1.5733289746049073,1.895020932480737,1.8132015,1.8132015,1.8132015
1023_2022-11-01,1.323510331576755,1.323510331576755,1.323510331576755,1.6851181,1.6851181,1.6851181,1.6851181
1025_2022-11-01,1.0812609875649946,1.0858439747813156,1.0858439747813156,1.353221945727718,1.3526518,1.3526518,1.3526518
1027_2022-11-01,1.5288613569108946,1.5245468416115613,1.5245468416115613,1.3914883726563627,1.5829384,1.5829384,1.5829384
